YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,22,4,DL,12953,"New York, NY",13204,"Orlando, FL",2050,2354,14,0,0,950
2015,1,22,4,DL,10397,"Atlanta, GA",12953,"New York, NY",1245,1459,0,0,0,762
2015,1,22,4,DL,14679,"San Diego, CA",11433,"Detroit, MI",1150,1914,0,0,0,1956
2015,1,22,4,DL,10397,"Atlanta, GA",10208,"Augusta, GA",1909,2001,0,0,0,143
2015,1,22,4,DL,10397,"Atlanta, GA",12266,"Houston, TX",1342,1501,0,0,0,689
2015,1,22,4,DL,12266,"Houston, TX",10397,"Atlanta, GA",1541,1843,0,0,0,689
2015,1,22,4,DL,11433,"Detroit, MI",12889,"Las Vegas, NV",1535,1716,0,0,0,1749
2015,1,22,4,DL,10397,"Atlanta, GA",15304,"Tampa, FL",1830,1955,0,0,0,406
2015,1,22,4,DL,14107,"Phoenix, AZ",13487,"Minneapolis, MN",800,1209,0,0,0,1276
2015,1,22,4,DL,11433,"Detroit, MI",13930,"Chicago, IL",1520,1555,3,0,0,235
2015,1,22,4,DL,13930,"Chicago, IL",11433,"Detroit, MI",1635,1905,0,0,0,235
2015,1,22,4,DL,10397,"Atlanta, GA",14100,"Philadelphia, PA",850,1049,0,0,0,666
2015,1,22,4,DL,14100,"Philadelphia, PA",10397,"Atlanta, GA",1130,1351,0,0,0,666
2015,1,22,4,DL,10397,"Atlanta, GA",10821,"Baltimore, MD",1110,1300,0,0,0,577
2015,1,22,4,DL,10821,"Baltimore, MD",10397,"Atlanta, GA",1345,1551,0,0,0,577
2015,1,22,4,DL,13487,"Minneapolis, MN",12953,"New York, NY",1010,1348,0,0,0,1020
2015,1,22,4,DL,14100,"Philadelphia, PA",13487,"Minneapolis, MN",815,1026,0,0,0,980
2015,1,22,4,DL,11697,"Fort Lauderdale, FL",12953,"New York, NY",700,951,0,0,0,1076
